award_uid,announcement_id,announced_date,service_branch,contractor_raw,contractor_city,contractor_state,amount_usd,action_type,contract_number,base_contract_number,modification_number,cumulative_face_value_usd,pricing_type,is_idiq,is_multi_award,work_description,place_of_performance,completion_date,contracting_activity,bids_solicited,bids_received,small_business,extraction_confidence,extraction_notes,extracted_at,extractor_model,llm_cache_key,skills_version,contract_uid,is_creating_event,duplicate_of
b814e6cf82b5fc80,4586879,2026-08-31,ARMY,"Action Manufacturing Co.,*",Bristol,Pennsylvania,712480000,new_award,W15QKN-26-D-A084,,,,"firm-fixed-price, indefinite-delivery/indefinite-quantity",true,false,"Manufacture, inspect, test, package and deliver M739A1 point detonating/delay fuzes.",Work locations and funding will be determined with each order,"Aug. 31, 2031","Army Contracting Command, Newark, New Jersey",,1,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,6ab7d0f4c009f1e9,true,
76a83308427af7ef,4586879,2026-08-31,ARMY,South Carolina Commission for the Blind,Columbia,South Carolina,180000000,modification,W9124C-25-D-A003,W9124C-25-D-A003,P00002,280000000,,,false,"Provide full food services including all supervision, labor, personnel, equipment, materials and supplies for operational services of eleven Army dining facilities.",Work locations and funding will be determined with each order,"March 3, 2029","Army 419th Contracting Support Brigade, Fort Jackson, South Carolina",1,1,false,0.95,"Awarded Aug. 28, 2026",2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,fa2fcfce94373615,true,
45a89cdde5110d14,4586879,2026-08-31,ARMY,"AAECON General Contracting LLC,*",Louisville,Kentucky,160000000,multi_award_pool,W912QR-26-D-A044,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,001b299df068109e,true,
4ca1608f4bb4862f,4586879,2026-08-31,ARMY,"Amerifield LLC,*",Berlin,Connecticut,160000000,multi_award_pool,W912QR-26-D-A045,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,f201121b7de195dc,true,
99abbfee6f831185,4586879,2026-08-31,ARMY,"Huot Construction and Services Inc.,*",South Saint Paul,Minnesota,160000000,multi_award_pool,W912QR-26-D-A046,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,2000794a272b1e32,true,
68f904dfa17b30c8,4586879,2026-08-31,ARMY,"Red Eagle 3 JV,*",Coweta,Oklahoma,160000000,multi_award_pool,W912QR-26-D-A047,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,f6d2569bc4bf5e3c,true,
ea442c9d6a76f262,4586879,2026-08-31,ARMY,"Semper Tek Inc.,*",Lexington,Kentucky,160000000,multi_award_pool,W912QR-26-D-A048,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,2d4e086d52293e5a,true,
b3465e727c800703,4586879,2026-08-31,ARMY,"Valiant Construction LLC,*",Louisville,Kentucky,160000000,multi_award_pool,W912QR-26-D-A049,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,d113515f719c77c6,true,
1647e9dd719adb68,4586879,2026-08-31,ARMY,"Tri Coast-Pac Tech JV 2,*",Kelso,Washington,160000000,multi_award_pool,W912QR-26-D-A050,,,,firm-fixed-price,false,true,Design-bid-build construction services.,Work locations and funding will be determined with each order,"Feb. 29, 2032","U.S. Army Corps of Engineers, Louisville, Kentucky",,19,true,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,2164679c704c98f8,true,
fdfd60960611dda5,4586879,2026-08-31,ARMY,Rockwell Collins Inc.,Cedar Rapids,Iowa,38916896,new_award,W58RGZ-26-F-A009,,,55146864,"cost-plus-fixed-fee, indefinite-delivery/indefinite-quantity",true,false,"Provide command, control and communications integration, modification, maintenance, enhancement and engineering support for the Common Avionics Architecture System 10.3 software for the evolving fleet.",Work locations and funding will be determined with each order,"Feb. 28, 2029","Army Contracting Command, Redstone Arsenal, Alabama",1,1,false,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,f5ad1205354cac9f,true,
964a56e8dd35f78b,4586879,2026-08-31,ARMY,"Paligen Aerospace & Defense LLC,*",Tampa,Florida,30840628,modification,W519TC-25-F-0015,W519TC-25-F-0015,P00005,435000000,,,false,"Design, construction and commissioning of a trinitrotoluene production facility.",Work locations and funding will be determined with each order,"Feb. 15, 2029","Army Contracting Command, Rock Island, Illinois",,,true,0.92,Entry describes as undefinitized contract action; treating as modification,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,52757f2fd939f976,true,
ec17f2eb7243dc38,4586879,2026-08-31,ARMY,CRB-PLS LLC,O'Brien,Florida,19000000,new_award,W9126G-26-D-A060,,,,"firm-fixed-price, indefinite-delivery/indefinite-quantity",true,false,Provide real estate title services.,Work locations and funding will be determined with each order,"Aug. 30, 2031","U.S. Army Corps of Engineers, Fort Worth, Texas",,1,false,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,6bf27d338585292a,true,
693b584a5a449b84,4586879,2026-08-31,ARMY,KBR Services LLC,Houston,Texas,17000000,modification,W52P1J-12-G-0061,W52P1J-12-G-0061,001 CB,165655369,,,false,Complete care of supplies in storage and other maintenance of government equipment.,Work locations and funding will be determined with each order,"June 1, 2027","Army Contracting Command, Rock Island, Illinois",,,false,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,22270efd97ec4df7,true,
cac597df89dcb841,4586879,2026-08-31,ARMY,Tern AI Inc.,Austin,Texas,11263793,new_award,W51701-26-C-A205,,,,firm-fixed-price,false,false,"Develop an independently derived positioning system and vehicle health and maintenance system to improve positioning, navigation and timing resilience and predictive sustainment capabilities.","Austin, Texas","Aug. 19, 2027","Army FUZE Contracting Center, Arlington, Virginia",1,1,false,0.93,"Awarded Aug. 28, 2026; entry notes $11,263,793 in fiscal 2026 RDT&E funds obligated at time of award",2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,88795563fc6d9f90,false,95ec0cd2738da9d3
cb343661f020a0b3,4586879,2026-08-31,NAVY,AECOM Technical Services Inc.,Los Angeles,California,145000000,multi_award_pool,N39430-26-D-2011,,,,"firm-fixed-price, indefinite-delivery/indefinite-quantity",true,true,"Provide petroleum, oil and lubricants engineering and design services for systems and supporting facilities at various Navy and Marine Corps installations worldwide.",Various Navy and Marine Corps installations worldwide,Aug. 2031,"Naval Facilities Engineering and Expeditionary Warfare Center, Port Hueneme, California",,14,false,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,832b1f2acc2cad6c,true,
cf22371272823a41,4586879,2026-08-31,NAVY,Aptim Federal Services LLC,Baton Rouge,Louisiana,145000000,multi_award_pool,N39430-26-D-2012,,,,"firm-fixed-price, indefinite-delivery/indefinite-quantity",true,true,"Provide petroleum, oil and lubricants engineering and design services for systems and supporting facilities at various Navy and Marine Corps installations worldwide.",Various Navy and Marine Corps installations worldwide,Aug. 2031,"Naval Facilities Engineering and Expeditionary Warfare Center, Port Hueneme, California",,14,false,0.95,,2026-09-02 18:10:40,claude-haiku-4-5,1fa591a18fd62fcb14a1cfbcb67f8988f40a8df224dea0c7a5684a8096b86c5f,1f32b0159df4,10dae301e5d91f4d,true,
