contract_uid,contract_number,contractor_raw,ticker,service_branch,work_description,contracting_activity,first_event_date,last_event_date,n_events,n_modifications,initial_value_usd,total_actioned_usd,ceiling_usd,history_complete,built_at
02730af56ab9b288,HT003826DE002,"A Square Group LLC,*",,OTHER,"All services and materials necessary to support the on-demand deployment of products within the Program Executive Office, Defense Healthcare Management Systems portfolio and related supporting components.","The Defense Health Agency Contracting Office, Arlington, Virginia",2026-07-30,2026-07-30,1,0,300000000,300000000,,true,2026-09-02 18:11:08
a408886add545fc4,N6134021D0005,A. Harold and Associates LLC,,NAVY,Curriculum revision and maintenance services for Navy and non-Navy training programs at Navy and Marine Corps sites worldwide.,"Naval Air Warfare Center Training Systems Division, Orlando, Florida",2026-07-27,2026-07-27,1,1,,70000000,160000000,false,2026-09-02 18:11:08
bc86c66b9985881c,W9126F-26-D-A031,"AEC-Weston JV LLC,*",,ARMY,Environmental remediation services under a multi-award indefinite-delivery contract.,"U.S. Army Corps of Engineers, Omaha, Nebraska",2026-07-10,2026-07-10,1,0,249000000,249000000,,true,2026-09-02 18:11:08
c4adfb975056e79c,FA8501-25-C-0005,"Aleut Construction LLC,*",,AIR FORCE,Provide a narrow body paint booth.,"Air Force Materiel Command Operational Contracting, Robins AFB, Warner Robins, Georgia",2026-08-31,2026-08-31,1,1,,52525333,56116956,false,2026-09-02 18:11:08
a896b0d55c00bcc8,W51AA1-26-C-A006,Analog Devices Federal LLC,ADI,ARMY,New production and battery refresh of the KOV-21 cryptographic card module.,"Army Contracting Command, Aberdeen Proving Ground, Maryland",2026-06-25,2026-06-25,1,0,15149638,15149638,,true,2026-09-02 18:11:08
5589e186988af584,N39430-26D-2001,Aptim Federal Services LLC,,NAVY,"Construction, maintenance, repair, and engineering services for pipelines, fuel storage tanks, and associated petroleum oil lubricant facilities and equipment.","Naval Facilities Engineering and Expeditionary Warfare Center, Port Hueneme, California",2026-08-21,2026-08-21,1,0,997000000,997000000,,true,2026-09-02 18:11:08
b3802b7b9c9e266f,FA8903-26-D-0041,Artisan Consulting Engineers LLC,,AIR FORCE,"Roofing, repair, and replacement services including low-slope, steep-slope, and metal roofing system work.","772nd Enterprise Sourcing Squadron, Joint Base San Antonio–Lackland, Texas",2026-06-29,2026-06-29,1,0,450000000,450000000,,true,2026-09-02 18:11:08
8fccf2673e2e94a5,W91238-26-D-A004,"Ava Gov LLC,*",,ARMY,Mitigation and vegetation clearing efforts within the Sacramento District Civil Works Area of Responsibility.,"U.S. Army Corps of Engineers, Sacramento, California",2026-06-25,2026-06-25,1,0,99000000,99000000,,true,2026-09-02 18:11:08
17e87858a3e5fc5b,W911NF-26-D-A007,"BCA Federal LLC,*",,ARMY,"Establish and strengthen networks connecting the United States Department of War, United States Army Combat Capabilities Development Command Army Research Laboratory, and government partners with academia, industry, and other government agencies through science and technology education outreach initiatives.","U.S. Army Contracting Command, Aberdeen Proving Ground, Maryland",2026-06-26,2026-06-26,1,0,49000000,49000000,,true,2026-09-02 18:11:08
6a5bf1b676bbe279,SPE1C1-26-D-0071,"Bethel Industries Inc.,*",,DEFENSE LOGISTICS AGENCY,Snow camouflage parkas.,"Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania",2026-07-31,2026-07-31,1,0,18532500,18532500,,true,2026-09-02 18:11:08
7c45dab73a7cdd59,FA8903-26-D-0015,Blue Frog Roofing Ltd.,,AIR FORCE,"Roofing, repair, and replacement services including low-slope, steep-slope, and metal roofing system work.","772nd Enterprise Sourcing Squadron, Joint Base San Antonio–Lackland, Texas",2026-06-29,2026-06-29,1,0,450000000,450000000,,true,2026-09-02 18:11:08
3227090b9d73693b,HTC71126CE129,Booze Allen Hamilton Inc.,BAH,OTHER,"Services to implement an integrated, Zero Trust-aligned cybersecurity ecosystem across U.S. Transportation Command to achieve Department of War Zero Trust Target Level compliance.","USTRANSCOM, Scott Air Force Base, Illinois",2026-07-01,2026-07-01,1,0,13670047,13670047,13670047,true,2026-09-02 18:11:08
e125c712506b5ef9,N6833526G1010,"Compass Systems Inc.,*",,NAVY,"Phase III SBIR effort for autonomous and intelligent aircraft maintenance technologies, transitioning proven technologies to operational deployment across Fleet Readiness Centers.","Naval Air Warfare Center Aircraft Division, Lakehurst, New Jersey",2026-07-28,2026-07-28,1,0,49896823,49896823,,true,2026-09-02 18:11:08
6f7abe81ba9a7008,FA853226DB012,DEVAL,,AIR FORCE,Next generation aerospace and ground equipment to modernize and source aerospace and ground equipment.,"Air Force Material Command Air Force Life Cycle Management Center, Support Equipment and Vehicles, Robins Air Force Base, Warner Robins, Georgia",2026-08-17,2026-08-17,1,0,920000000,920000000,,true,2026-09-02 18:11:08
7bf4b5d354fcdbcf,N6339422C0008,"Design West Technologies Inc.,*",,NAVY,"Manufacture, assembly, test, and delivery of a Vertical Launching System Motor Control Panel, a Status Panel, and associated kits.","Naval Surface Warfare Center Port Hueneme Division, Port Hueneme, California",2026-07-24,2026-07-24,1,1,,33844993,,false,2026-09-02 18:11:08
e4220a7bf94cd501,FA8250-26-D-B005,Elbit America Inc.,ESLT,AIR FORCE,Repair services for the 415th Supply Chain Management Squadron.,"The Air Force Sustainment Center, Hill Air Force Base, Utah",2026-07-30,2026-07-30,1,0,300000000,300000000,,true,2026-09-02 18:11:08
e852f7096026fbd5,FA8527-26-F-B024,Environmental Systems Research Institute Inc.,,AIR FORCE,ArcGIS software licenses and embedded innovation engineers support.,"Air Force Lifecycle Management Center, Warner Robins, Georgia",2026-07-16,2026-07-16,1,0,62058967,62058967,,true,2026-09-02 18:11:08
a62d22e5352cf004,N6600126R0104,ExpediteInfoTech Inc.,,NAVY,"Operational exercise design and construction, operations and requirements analysis, concept formulation and development, feasibility demonstrations, and operational and technical support including systems engineering, requirements verification and validation, software and hardware design, systems integration, test and evaluation, and DevSecOps methodologies.","Naval Information Warfare Center Pacific, San Diego, California",2026-08-13,2026-08-13,1,0,278000000,278000000,400000000,true,2026-09-02 18:11:08
2d655de34a258ea1,W912PL-26-D-A006,"FedVet Construction,*",,ARMY,Construction activities in the Southern California footprint.,"U.S. Army Corps of Engineers, Los Angeles, California",2026-06-25,2026-06-25,1,0,99000000,99000000,,true,2026-09-02 18:11:08
1731d4e240ef55eb,W91CRB-26-D-A017,"Hardwire LLC,*",,ARMY,Small arms protective inserts.,"Army Contracting Command, Aberdeen Proving Ground, Maryland",2026-07-23,2026-07-23,1,0,35000000,35000000,,true,2026-09-02 18:11:08
c92ba5abcc0b8b9d,N0016426DJN21,"Hornady Manufacturing Co.,*",,NAVY,"7.62mm special long-range, MK 316 MOD 0 ammunition.","Naval Surface Warfare Center, Crane Division, Crane, Indiana",2026-06-30,2026-06-30,1,0,35410312,35410312,,true,2026-09-02 18:11:08
cca68662ca013112,W50S8H-26-D-A018,"Iron Sword Enterprises LLC,*",,ARMY,"Maintenance, repair, and construction services at various locations.","U.S. Property and Fiscal Office, New York",2026-06-29,2026-06-29,1,0,45000000,45000000,,true,2026-09-02 18:11:08
97d80f6062dd1125,W9128F-26-D-A042,"Jack Wayte CMS JV,*",,ARMY,"Design-build and design-bid-build construction services in support of the Petroleum, Oil, and Lubricants Mandatory Center of Expertise.","U.S. Army Corps of Engineers, Omaha, Nebraska",2026-08-06,2026-08-06,1,0,699000000,699000000,,true,2026-09-02 18:11:08
6f8b9ca4ed719e43,W31P4Q-26-F-0112,KBR Wyle Services LLC,,ARMY,"Systems engineering and technical assistance services including digital transformation, program management, engineering, software, cybersecurity, and logistics support for multiple air and ground-launched weapon systems.","Army Contracting Command, Redstone Arsenal, Alabama",2026-06-22,2026-06-22,1,0,35976057,35976057,207915330,true,2026-09-02 18:11:08
de0b6fbdda28cc6d,N00024-24-C-6200,L3Harris Corp.,LHX,NAVY,Navy equipment and components and engineering support through option exercise on previously awarded contract.,"Naval Sea Systems Command, Washington, D.C.",2026-07-13,2026-07-13,1,1,,70822613,,false,2026-09-02 18:11:08
d5b342443f47b1dc,N00024-23-C-5206,L3Harris Technologies Communication Systems – West,LHX,NAVY,"Develop, test, manufacture, deliver, manage, and support the AN/SRQ-4 Radio Terminal Set Common Data Link Hawklink on Navy surface combatants exercising the option.","Naval Sea Systems Command, Washington, D.C.",2026-06-23,2026-06-23,1,1,,12220633,,false,2026-09-02 18:11:08
a4877189943a90b8,FA255326DB005,L3Harris Technologies Inc.,LHX,AIR FORCE,"Support to space and ground-based engineering activities to enhance test, evaluation, and training operations for the National Space Test and Training Complex Innovative Technology and Engineering - Space Test and Range Capability Development.","The Space Systems Command, Operational Test and Training Infrastructure, Colorado Springs, Colorado",2026-07-30,2026-07-30,1,0,981000000,981000000,,true,2026-09-02 18:11:08
8189851893635df2,W31P4Q-25-D-0010,Lockheed Martin Corp.,LMT,ARMY,"Increase production capacity of Precision Strike Missiles Increment One and procure Early Operational Capability assets, follow-on production, development, and obsolescence management.","Army Contracting Command, Redstone Arsenal, Alabama",2026-06-23,2026-06-23,1,1,,8402489648,13339535048,false,2026-09-02 18:11:08
b7451e9867243487,W912CH-26-D-0048,Luxfer Magtech Inc.,LXFR,ARMY,Procurement of the M256A2 Chemical Agent Detector Kit.,"Army Contracting Command, Detroit Arsenal, Michigan",2026-08-06,2026-08-06,1,0,10078777,10078777,,true,2026-09-02 18:11:08
a657dd2140cd041f,W912P7-26-C-A019,Manson Construction Co.,,ARMY,Oakland Inner and Outer Harbor fiscal 2026 maintenance dredging project.,"U.S. Army Corps of Engineers, San Francisco, California",2026-07-13,2026-07-13,1,0,12909775,12909775,,true,2026-09-02 18:11:08
442689725ff82fa1,HTC71124DW011/P0009,Matson Navigation Co. Inc.,MATX,OTHER,"International ocean and intermodal, time definite, port-to-port, and door-to-door transportation services for containerized and breakbulk cargo under the Universal Services Contract-10 program.","The U.S. Transportation Command, Directorate of Acquisition, Scott Air Force Base, Illinois",2026-07-15,2026-07-15,1,0,800000000,800000000,2325000000,true,2026-09-02 18:11:08
79e8e40774ecb6fb,W912HY-26-C-A024,"Muddy Water Dredging LP,*",,ARMY,Gulf Intracoastal Waterway dredging with beneficial use of sediment pipeline placement.,"U.S. Army Corps of Engineers, Galveston, Texas",2026-07-21,2026-07-21,1,0,10216720,10216720,,true,2026-09-02 18:11:08
ff27004ddca35a62,W9128F-26-D-A027,"North Wind Site Services LLC,*",,ARMY,Environmental remediation services under a multi-award indefinite-delivery contract.,"U.S. Army Corps of Engineers, Omaha, Nebraska",2026-07-10,2026-07-10,1,0,249000000,249000000,,true,2026-09-02 18:11:08
8a199f56ba886286,W912PL-26-D-A008,"Patricia I. Romero Inc.,*",,ARMY,Construction activities in the Southern California footprint.,"U.S. Army Corps of Engineers, Los Angeles, California",2026-06-25,2026-06-25,1,0,99000000,99000000,,true,2026-09-02 18:11:08
49b78bc9263fff32,HT003826DE011,Peraton Inc.,,OTHER,"All services and materials necessary to support the on-demand deployment of products within the Program Executive Office, Defense Healthcare Management Systems portfolio and related supporting components.","The Defense Health Agency Contracting Office, Arlington, Virginia",2026-07-30,2026-07-30,1,0,300000000,300000000,,true,2026-09-02 18:11:08
5b3644f83f5eb6a8,W91QF4-26-D-A006,Pride Industries,,ARMY,Custodial services.,"Army Field Directorate Office, Fort Eustis, Virginia",2026-07-08,2026-07-08,1,0,12988778,12988778,,true,2026-09-02 18:11:08
222371411e20b6f0,FA8250-26-D-B016,Pro-Comm Inc.,,AIR FORCE,Repair services for the 415th Supply Chain Management Squadron.,"The Air Force Sustainment Center, Hill Air Force Base, Utah",2026-07-30,2026-07-30,1,0,300000000,300000000,,true,2026-09-02 18:11:08
228f2ab6e4e3820b,FA8811-26-D-B002,Relativity Federal Inc.,,AIR FORCE,Provide launch services delivering National Security Space payloads into their intended orbits under a multiple-award IDIQ contract.,"Space Systems Command, Space Access, Los Angeles Air Force Base, California",2026-07-07,2026-07-07,1,0,10000000,10000000,5600000000,true,2026-09-02 18:11:08
2c1b65bfb2a417c5,N39430-26-D-2019,"Robert and Co. Inc.,*",,NAVY,"Provide petroleum, oil and lubricants engineering and design services for systems and supporting facilities at various Navy and Marine Corps installations worldwide.","Naval Facilities Engineering and Expeditionary Warfare Center, Port Hueneme, California",2026-08-31,2026-08-31,1,0,145000000,145000000,,true,2026-09-02 18:11:08
d33a432b4a215ea6,SPE605-26-D-8523,Royal Aquarian Consultancy Inc.,,DEFENSE LOGISTICS AGENCY,Various types of fuel.,"Defense Logistics Agency Energy, Fort Belvoir, Virginia",2026-08-21,2026-08-21,1,0,18294536,18294536,,true,2026-09-02 18:11:08
be8f65ee45adebfd,N44255-26-D-1508,SLSCO Ltd.,,NAVY,"New construction, renovation, alteration, demolition, and repair work for marine piers and facilities at various locations within the Naval Facilities Engineering Systems Command Northwest area of operations.","Naval Facilities Engineering Systems Command Northwest, Silverdale, Washington",2026-07-30,2026-07-30,1,0,700000000,700000000,,true,2026-09-02 18:11:08
55c963616cae94de,N0017422D0006,Serco Inc.,,NAVY,Support for field additional Close-In Weapon Systems and Counter Unmanned Aerial Systems.,"Navy Surface Warfare Center Indian Head Division, Indian Head, Maryland",2026-07-16,2026-07-16,1,1,,25000000,,false,2026-09-02 18:11:08
f6296630a5c7d8d5,FA8730-26-C-B004,Small Business Consulting Corp.,,AIR FORCE,"Commercial engagement for Airman Readiness Enterprise Solution platform integration, providing comprehensive data engineering analytics and program management.","The Air Force Life Cycle Management Center, Hanscom Air Force Base, Massachusetts",2026-07-08,2026-07-08,1,0,19338069,19338069,,true,2026-09-02 18:11:08
fa2fcfce94373615,W9124C-25-D-A003,South Carolina Commission for the Blind,,ARMY,"Provide full food services including all supervision, labor, personnel, equipment, materials and supplies for operational services of eleven Army dining facilities.","Army 419th Contracting Support Brigade, Fort Jackson, South Carolina",2026-08-31,2026-08-31,1,1,,180000000,280000000,false,2026-09-02 18:11:08
7835f30cd3281449,FA4887-26-D-0009,Spees-Reid Middleton JV LLC,,AIR FORCE,"Multidisciplinary architect-engineer services including mechanical, electrical, fire protection, civil, structural, and architectural engineering Title I and Title II services to support various locations in Arizona.","56th Contracting Squadron, Luke Air Force Base, Arizona",2026-08-03,2026-08-03,1,0,25000000,25000000,,true,2026-09-02 18:11:08
c750bf736ad72019,N40084-26-D-1508,Sumiju Yokosuka Kogyo Co. Ltd.,,NAVY,"Project design, construction, renovation, modernization, repair, and maintenance projects at U.S. government installations.","Naval Facilities Engineering Systems Command, Far East, Yokosuka, Japan",2026-07-30,2026-07-30,1,0,1000000000,1000000000,,true,2026-09-02 18:11:08
f6e6943413604ab2,HT001125C0076,Synensys LLC,,OTHER,Defense Health Agency Deputy Assistant Director - Medical Affairs Patient Safety Program services including patient safety personnel and training at military medical treatment facilities.,"Defense Health Agency, Professional Services Contracting Division, Falls Church, Virginia",2026-07-22,2026-07-22,1,1,,9391875,,false,2026-09-02 18:11:08
1c71e9cb0a78b959,FA8903-26-D-0024,Tabcon Inc.,,AIR FORCE,"Roofing, repair, and replacement services including low-slope, steep-slope, and metal roofing system work.","772nd Enterprise Sourcing Squadron, Joint Base San Antonio–Lackland, Texas",2026-06-29,2026-06-29,1,0,450000000,450000000,,true,2026-09-02 18:11:08
121e790129f351d2,FA8629-26-D-B006,Tandem Defense,,AIR FORCE,"Ancillary support equipment, operator training, and field service representative support for group one aerial denial unmanned aircraft systems under an indefinite-delivery/indefinite-quantity contract.","The Air Force Life Cycle Management Center, Wright-Patterson Air Force Base, Ohio",2026-07-20,2026-07-20,1,0,90000000,90000000,,true,2026-09-02 18:11:08
b0038da195ff907d,W912PB-26-D-A027,Tidewater Inc.,,ARMY,"Facility sustainment, restoration, and modernization construction services across Army installations in Germany.","Army 409th Contracting Support Brigade, Kaiserslautern, Germany",2026-08-14,2026-08-14,1,0,249000000,249000000,,true,2026-09-02 18:11:08
