contractor_raw,normalized_name,ticker,parent_company,relationship,is_public,confidence,reasoning,resolved_at,resolver_model,llm_cache_key,skills_version
1080 Constructors,1080 Constructors,,,private,false,0.95,Small construction firm with unremarkable name; no match to any known public contractor or division.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"A Square Group LLC,*",A Square Group,,,private,false,0.95,Small business awardee with generic name; no recognizable public company affiliation.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
A-Vet Roofing & Construction LLC,A-Vet Roofing & Construction,,,private,false,0.95,Specialized roofing and construction firm; consistent with small DoD contractor profile.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
A. Harold and Associates LLC,A. Harold and Associates,,,private,false,0.95,Sole proprietorship or small professional services firm; no public company match.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"A3 Pro West Inc.,*",A3 Pro West,,,private,false,0.95,Small business contractor with no identifiable public parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"A3L Federal Works,*",A3L Federal Works,,,private,false,0.95,Specialized federal contractor name; no match to known public company.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"AAECON General Contracting LLC,*",AAECON General Contracting,,,private,false,0.92,"Small-business awardee with no recognizable connection to any listed company; the $7.5M publication threshold is well within reach of independent engineering or construction firms, making private ownership the appropriate classification.",2026-09-02 15:30:40,claude-haiku-4-5,0b4c90b0c0f6880f40b1628f5cc53a6e036cc8d4f1055d2f3cc3182a8238f75e,sk-5c88474c
AAR Government Services Inc.,AAR Government Services,AIR,AAR Corp,subsidiary,true,0.92,AAR Corp is a NASDAQ-listed aerospace supplier; Government Services is its defense division.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
ACC Construction Co. Inc.,ACC Construction Co.,,,private,false,0.95,Generic construction company name; too common and unrecognizable to map to a public firm.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"ADCO Medical Suppliers LLC,*",ADCO Medical Suppliers,,,private,false,0.95,Specialized medical supply contractor; small firm with no public parent evident.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"ADCO Medical Suppliers LLC,**",ADCO Medical Suppliers,,,private,false,0.95,Specialized medical supply contractor; small firm with no public parent evident.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
ADRS LLC,ADRS,,,private,false,0.9,Acronym-only name; insufficient information to map to a public company.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"AEC-Weston JV LLC,*",AEC-Weston JV,,,joint_venture,false,0.85,Small-business construction joint venture of two private firms with no listed parent.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
AECOM Technical Services Inc.,AECOM Technical Services,ACM,AECOM,subsidiary,true,0.94,AECOM is NYSE-listed engineering and construction firm; Technical Services is a division.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
AEVEX Aerospace LLC,Aevex Aerospace,,,private,false,0.9,"Defense aerospace firm; while specialized in ISR platforms, Aevex Aerospace remains privately held.",2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Aevex Aerospace LLC,Aevex Aerospace,,,private,false,0.9,"Defense aerospace firm; while specialized in ISR platforms, Aevex Aerospace remains privately held.",2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
AM General,AM General,,,private,false,0.9,"HMMWV maker AM General is privately held, owned by KPS Capital Partners since its 2020 purchase from MacAndrews & Forbes.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
AM General LLC,AM General,,,private,false,0.9,"HMMWV maker AM General is privately held, owned by KPS Capital Partners since its 2020 purchase from MacAndrews & Forbes.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"AMTEC Corp.,*",AMTEC,,,private,false,0.92,Small engineering or manufacturing firm with no recognized public parent; consistent with $7.5M+ DoD award threshold for private companies.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
AOD & RBT JV,AOD & RBT JV,,,joint_venture,false,0.8,Acronymic small-business joint venture with no recognisable listed partner.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"AOR International LLC,*",AOR International,,,private,false,0.9,Small consulting or professional services firm with no identifiable public parent.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"APEX Engineering PLLC,*",APEX Engineering,,,private,false,0.9,Engineering services firm; PLLC designation suggests professional limited liability company structure typical of small private firms.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
AR6 Construction & Engineering LLC,AR6 Construction & Engineering,,,private,false,0.9,Construction and engineering firm; specialized numeric identifier suggests small or specialized private contractor.,2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"ASJ-NASCO JV2 LLC,*",ASJ-NASCO JV2,,,joint_venture,false,0.85,Small-business joint venture; neither ASJ nor NASCO is a listed company.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"ASJV LLC,*",ASJV,,,private,false,0.8,Small-business awardee entity with no association to any listed company.,2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
ASRC Federal Facilities Logistics,ASRC Federal Facilities Logistics,,,private,false,0.75,"Subsidiary of ASRC (Alaska Service and Resource Corporation), a large private contractor; ASRC is privately held.",2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"ASRC Federal Facilities Logistics LLC,**",ASRC Federal Facilities Logistics,,,private,false,0.75,"Subsidiary of ASRC (Alaska Service and Resource Corporation), a large private contractor; ASRC is privately held.",2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
ASRC Research and Technology Solutions LLC,ASRC Research and Technology Solutions,,,private,false,0.75,"Division of ASRC, a major privately held Alaska-based contractor group.",2026-09-02 16:02:35,claude-haiku-4-5,eacb75e180ac500805933987f1a28c240a53db051d961ecf717f36bc0d786851,sk-5c88474c
"AVMAC LLC,*",AVMAC,,,private,false,0.9,Acronym suggests a specialized technical firm; unrecognized name indicates private status.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
AVOX Systems Inc.,AVOX Systems,,,private,false,0.88,Same entity as entry 9 with capitalization variation; private aerospace supplier.,2026-09-02 16:02:47,claude-haiku-4-5,121709fbde8ede1b8d95101896f9ebf85529a01dce81c3431028ef4774b3cb71,sk-5c88474c
Accenture Federal Services,Accenture Federal Services,ACN,Accenture plc,subsidiary,true,0.95,Accenture is NYSE-listed consulting firm; Federal Services is its U.S. government contracting division.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Accenture Federal Services LLC,Accenture Federal Services,ACN,Accenture plc,subsidiary,true,0.95,Accenture is NYSE-listed consulting firm; Federal Services is its U.S. government contracting division.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
ActioNet Inc.,ActioNet,,,private,false,0.88,"IT services firm; while it has government work, it remains privately held and is not a subsidiary of a known public contractor.",2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
"Action Manufacturing Co.,*",Action Manufacturing Co.,,,private,false,0.95,Small business manufacturer with common name; no identifiable public parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Advanced Acoustic Concepts LLC,Advanced Acoustic Concepts,,,private,false,0.95,Specialized acoustic engineering firm; no match to known public contractor portfolio.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Advanced Concepts Enterprises Inc.,Advanced Concepts Enterprises,,,private,false,0.95,Generic advanced concepts/engineering firm name; no identifiable public parent.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Aegis Aerospace Inc.,Aegis Aerospace,,,private,false,0.92,"Aerospace services firm; while specialized, Aegis Aerospace remains privately held.",2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
Aero Specialties,Aero Specialties,,,private,false,0.95,Specialized aerospace support services; consistent with small private contractor profile.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
AeroVironment Inc.,AeroVironment,AVAV,AeroVironment Inc,direct,true,0.96,AeroVironment is NASDAQ-listed manufacturer of small unmanned aircraft systems and sensors.,2026-09-02 16:02:10,claude-haiku-4-5,35a2a117772f3a48b0374df162e3e4bc9cc99cf0e035bd85a2a1c61851f91545,sk-5c88474c
