ticker,company,aliases
LMT,Lockheed Martin Corporation,"Lockheed Martin;Lockheed Martin Corp;Lockheed Martin Aeronautics;Lockheed Martin Rotary and Mission Systems;Sikorsky Aircraft"
RTX,RTX Corporation,"RTX;Raytheon;Raytheon Company;Raytheon Technologies;Rockwell Collins;Collins Aerospace;Pratt & Whitney;Pratt and Whitney"
GD,General Dynamics Corporation,"General Dynamics;General Dynamics Land Systems;General Dynamics Mission Systems;General Dynamics Information Technology;GDIT;Electric Boat;Bath Iron Works;Gulfstream Aerospace"
NOC,Northrop Grumman Corporation,"Northrop Grumman;Northrop Grumman Systems;Northrop Grumman Aeronautics Systems;Orbital ATK"
LHX,L3Harris Technologies Inc,"L3Harris;L3 Harris;Harris Corporation;L3 Technologies;Aerojet Rocketdyne"
BA,The Boeing Company,"Boeing;Boeing Company;Boeing Defense;Boeing Defense Space and Security"
HII,Huntington Ingalls Industries Inc,"Huntington Ingalls;Newport News Shipbuilding;Ingalls Shipbuilding;Mission Technologies"
LDOS,Leidos Holdings Inc,"Leidos;Leidos Inc;Leidos Innovations;Dynetics"
CACI,CACI International Inc,"CACI;CACI Inc;CACI Inc-Federal;CACI International"
SAIC,Science Applications International Corporation,"SAIC;Science Applications International"
BAH,Booz Allen Hamilton Holding Corporation,"Booz Allen;Booz Allen Hamilton;Booz Allen Hamilton Inc"
PLTR,Palantir Technologies Inc,"Palantir;Palantir Technologies;Palantir USG"
